time_s,ch36
0.00000,0.000
0.02778,0.100
0.05556,0.200
0.08333,0.300
0.11111,0.400
0.13889,0.500
0.16667,0.600
0.19444,0.700
0.22222,0.800
0.25000,0.900
0.27778,1.000
0.30556,1.100
0.33333,1.200
0.36111,1.300
0.38889,1.400
0.41667,1.500
0.44444,1.600
0.47222,1.700
0.50000,1.800
0.52778,1.900
0.55556,2.000
0.58333,2.100
0.61111,2.200
0.63889,2.300
0.66667,2.400
0.69444,2.500
0.72222,2.600
0.75000,2.700
0.77778,2.800
0.80556,2.900
0.83333,3.000
0.86111,3.100
0.88889,3.200
0.91667,3.300
0.94444,3.400
0.97222,3.500
