time_s,ch39
0.00000,0.000
0.02564,0.100
0.05128,0.200
0.07692,0.300
0.10256,0.400
0.12821,0.500
0.15385,0.600
0.17949,0.700
0.20513,0.800
0.23077,0.900
0.25641,1.000
0.28205,1.100
0.30769,1.200
0.33333,1.300
0.35897,1.400
0.38462,1.500
0.41026,1.600
0.43590,1.700
0.46154,1.800
0.48718,1.900
0.51282,2.000
0.53846,2.100
0.56410,2.200
0.58974,2.300
0.61538,2.400
0.64103,2.500
0.66667,2.600
0.69231,2.700
0.71795,2.800
0.74359,2.900
0.76923,3.000
0.79487,3.100
0.82051,3.200
0.84615,3.300
0.87179,3.400
0.89744,3.500
0.92308,3.600
0.94872,3.700
0.97436,3.800
