time_s,ch37
0.00000,0.000
0.02703,0.100
0.05405,0.200
0.08108,0.300
0.10811,0.400
0.13514,0.500
0.16216,0.600
0.18919,0.700
0.21622,0.800
0.24324,0.900
0.27027,1.000
0.29730,1.100
0.32432,1.200
0.35135,1.300
0.37838,1.400
0.40541,1.500
0.43243,1.600
0.45946,1.700
0.48649,1.800
0.51351,1.900
0.54054,2.000
0.56757,2.100
0.59459,2.200
0.62162,2.300
0.64865,2.400
0.67568,2.500
0.70270,2.600
0.72973,2.700
0.75676,2.800
0.78378,2.900
0.81081,3.000
0.83784,3.100
0.86486,3.200
0.89189,3.300
0.91892,3.400
0.94595,3.500
0.97297,3.600
