time_s,ch35
0.00000,0.000
0.02857,0.100
0.05714,0.200
0.08571,0.300
0.11429,0.400
0.14286,0.500
0.17143,0.600
0.20000,0.700
0.22857,0.800
0.25714,0.900
0.28571,1.000
0.31429,1.100
0.34286,1.200
0.37143,1.300
0.40000,1.400
0.42857,1.500
0.45714,1.600
0.48571,1.700
0.51429,1.800
0.54286,1.900
0.57143,2.000
0.60000,2.100
0.62857,2.200
0.65714,2.300
0.68571,2.400
0.71429,2.500
0.74286,2.600
0.77143,2.700
0.80000,2.800
0.82857,2.900
0.85714,3.000
0.88571,3.100
0.91429,3.200
0.94286,3.300
0.97143,3.400
